duration_sec,bike_id,user_type,member_gender,age,distance_km,start_day_of_week,end_day_of_week,start_hour,start_time_of_day,duration_minute
1956,6406,Subscriber,Female,25.0,6.76,Thursday,Thursday,12,afternoon,32.6
1609,5773,Subscriber,Female,66.0,6.77,Thursday,Thursday,12,afternoon,26.816666666666666
1245,5349,Subscriber,Male,38.0,5.32,Thursday,Thursday,11,morning,20.75
1586,5204,Subscriber,Male,24.0,7.51,Thursday,Thursday,11,morning,26.433333333333334
1058,6021,Customer,Male,39.0,5.43,Thursday,Thursday,11,morning,17.633333333333333
1992,3743,Subscriber,Male,29.0,6.48,Thursday,Thursday,10,morning,33.2
1263,4787,Subscriber,Male,27.0,6.7,Thursday,Thursday,10,morning,21.05
1510,6015,Subscriber,Male,39.0,7.95,Thursday,Thursday,10,morning,25.166666666666668
1592,5337,Customer,Female,32.0,5.84,Thursday,Thursday,9,morning,26.533333333333335
2076,2681,Subscriber,Female,28.0,7.04,Thursday,Thursday,9,morning,34.6
1748,475,Subscriber,Female,38.0,5.41,Thursday,Thursday,9,morning,29.133333333333333
1474,5657,Subscriber,Female,31.0,7.69,Thursday,Thursday,9,morning,24.566666666666666
1575,2727,Subscriber,Male,35.0,6.03,Thursday,Thursday,9,morning,26.25
1398,5184,Subscriber,Male,38.0,5.09,Thursday,Thursday,9,morning,23.3
1531,5959,Customer,Female,38.0,5.91,Thursday,Thursday,9,morning,25.516666666666666
1232,4567,Subscriber,Male,52.0,5.23,Thursday,Thursday,9,morning,20.533333333333335
1645,6367,Subscriber,Male,35.0,6.03,Thursday,Thursday,8,morning,27.416666666666668
1666,1113,Subscriber,Male,34.0,5.41,Thursday,Thursday,8,morning,27.766666666666666
1967,1367,Subscriber,Male,51.0,5.78,Thursday,Thursday,8,morning,32.78333333333333
1917,5204,Subscriber,Male,24.0,7.56,Thursday,Thursday,8,morning,31.95
1512,5453,Subscriber,Male,57.0,5.81,Thursday,Thursday,8,morning,25.2
1341,5608,Subscriber,Male,35.0,6.85,Thursday,Thursday,9,morning,22.35
1211,6457,Subscriber,Male,26.0,5.65,Thursday,Thursday,9,morning,20.183333333333334
1580,6106,Subscriber,Male,42.0,6.0,Thursday,Thursday,8,morning,26.333333333333332
969,4628,Subscriber,Male,57.0,5.37,Thursday,Thursday,8,morning,16.15
1970,569,Subscriber,Male,37.0,6.85,Thursday,Thursday,8,morning,32.833333333333336
1709,4564,Subscriber,Female,31.0,6.94,Thursday,Thursday,8,morning,28.483333333333334
1290,4757,Subscriber,Male,30.0,5.41,Thursday,Thursday,8,morning,21.5
1506,5721,Subscriber,Male,34.0,6.71,Thursday,Thursday,8,morning,25.1
1950,5146,Subscriber,Female,34.0,8.51,Thursday,Thursday,8,morning,32.5
1291,6638,Customer,Male,32.0,5.4,Thursday,Thursday,8,morning,21.516666666666666
2341,1175,Subscriber,Female,32.0,5.55,Thursday,Thursday,8,morning,39.016666666666666
1597,5514,Subscriber,Male,50.0,6.71,Thursday,Thursday,8,morning,26.616666666666667
1855,872,Customer,Female,49.0,5.87,Thursday,Thursday,8,morning,30.916666666666668
1143,6045,Customer,Male,40.0,5.71,Thursday,Thursday,8,morning,19.05
1320,5883,Subscriber,Male,62.0,6.54,Thursday,Thursday,8,morning,22.0
1592,5583,Subscriber,Female,28.0,5.77,Thursday,Thursday,8,morning,26.533333333333335
1625,4633,Customer,Male,57.0,5.84,Thursday,Thursday,8,morning,27.083333333333332
1193,4953,Customer,Male,30.0,5.23,Thursday,Thursday,8,morning,19.883333333333333
2287,256,Subscriber,Female,39.0,7.23,Thursday,Thursday,7,morning,38.11666666666667
1050,6406,Subscriber,Female,25.0,5.62,Thursday,Thursday,8,morning,17.5
1570,1697,Subscriber,Female,31.0,5.55,Thursday,Thursday,7,morning,26.166666666666668
1686,5811,Subscriber,Male,30.0,6.55,Thursday,Thursday,7,morning,28.1
1669,1250,Subscriber,Male,36.0,8.38,Thursday,Thursday,7,morning,27.816666666666666
1448,5911,Subscriber,Male,44.0,5.83,Thursday,Thursday,7,morning,24.133333333333333
1041,5209,Subscriber,Male,31.0,5.29,Thursday,Thursday,7,morning,17.35
1375,5520,Subscriber,Female,35.0,5.59,Thursday,Thursday,7,morning,22.916666666666668
1240,6226,Subscriber,Male,31.0,5.08,Thursday,Thursday,7,morning,20.666666666666668
1647,6566,Subscriber,Male,65.0,5.87,Thursday,Thursday,7,morning,27.45
1346,4966,Subscriber,Female,36.0,5.59,Thursday,Thursday,7,morning,22.433333333333334
1139,2976,Subscriber,Male,60.0,5.15,Thursday,Thursday,7,morning,18.983333333333334
1495,5598,Subscriber,Male,26.0,6.88,Thursday,Thursday,6,morning,24.916666666666668
870,5516,Subscriber,Male,51.0,5.55,Thursday,Thursday,5,morning,14.5
1434,6570,Subscriber,Male,50.0,7.21,Thursday,Thursday,4,morning,23.9
3049,4496,Subscriber,Female,30.0,6.25,Wednesday,Wednesday,22,night,50.81666666666667
2054,5038,Customer,Female,36.0,5.53,Wednesday,Wednesday,22,night,34.233333333333334
2034,5337,Customer,Female,36.0,5.53,Wednesday,Wednesday,22,night,33.9
2047,4966,Subscriber,Male,35.0,6.67,Wednesday,Wednesday,21,night,34.11666666666667
2003,4831,Subscriber,Female,38.0,6.67,Wednesday,Wednesday,21,night,33.38333333333333
2166,4614,Subscriber,Male,35.0,5.14,Wednesday,Wednesday,21,night,36.1
1202,5314,Customer,Male,30.0,5.37,Wednesday,Wednesday,20,night,20.033333333333335
1703,4927,Subscriber,Male,35.0,6.0,Wednesday,Wednesday,20,night,28.383333333333333
1372,5403,Subscriber,Other,42.0,6.68,Wednesday,Wednesday,20,night,22.866666666666667
1795,5937,Subscriber,Male,34.0,6.4,Wednesday,Wednesday,20,night,29.916666666666668
2268,793,Subscriber,Female,35.0,5.83,Wednesday,Wednesday,19,night,37.8
2976,4548,Subscriber,Male,50.0,7.62,Wednesday,Wednesday,19,night,49.6
1400,4615,Subscriber,Male,41.0,5.24,Wednesday,Wednesday,19,night,23.333333333333332
2740,6015,Subscriber,Female,30.0,5.73,Wednesday,Wednesday,19,night,45.666666666666664
1235,5175,Subscriber,Male,35.0,5.63,Wednesday,Wednesday,19,night,20.583333333333332
1263,5574,Subscriber,Male,33.0,6.22,Wednesday,Wednesday,19,night,21.05
1056,4758,Subscriber,Male,36.0,5.3,Wednesday,Wednesday,19,night,17.6
1335,5227,Subscriber,Male,41.0,5.47,Wednesday,Wednesday,19,night,22.25
1684,5610,Subscriber,Male,65.0,6.73,Wednesday,Wednesday,18,night,28.066666666666666
1357,3526,Customer,Other,35.0,5.59,Wednesday,Wednesday,18,night,22.616666666666667
1738,4464,Subscriber,Male,40.0,5.54,Wednesday,Wednesday,18,night,28.966666666666665
1822,5953,Subscriber,Male,47.0,5.32,Wednesday,Wednesday,18,night,30.366666666666667
1722,5378,Subscriber,Male,47.0,5.46,Wednesday,Wednesday,18,night,28.7
1353,5436,Subscriber,Male,30.0,5.41,Wednesday,Wednesday,18,night,22.55
1758,5502,Subscriber,Male,50.0,5.75,Wednesday,Wednesday,17,afternoon,29.3
1318,4700,Subscriber,Male,38.0,6.18,Wednesday,Wednesday,17,afternoon,21.966666666666665
1579,6007,Subscriber,Male,34.0,6.32,Wednesday,Wednesday,17,afternoon,26.316666666666666
1829,5434,Subscriber,Male,50.0,6.71,Wednesday,Wednesday,17,afternoon,30.483333333333334
1630,5982,Subscriber,Female,52.0,6.9,Wednesday,Wednesday,17,afternoon,27.166666666666668
2271,874,Subscriber,Female,36.0,6.21,Wednesday,Wednesday,17,afternoon,37.85
1495,6132,Subscriber,Male,37.0,5.23,Wednesday,Wednesday,17,afternoon,24.916666666666668
1342,4554,Subscriber,Male,47.0,5.41,Wednesday,Wednesday,16,afternoon,22.366666666666667
1855,3407,Subscriber,Male,26.0,6.88,Wednesday,Wednesday,16,afternoon,30.916666666666668
1696,6635,Subscriber,Male,32.0,5.55,Wednesday,Wednesday,16,afternoon,28.266666666666666
1716,5325,Subscriber,Male,41.0,5.07,Wednesday,Wednesday,16,afternoon,28.6
1511,4463,Subscriber,Male,29.0,6.32,Wednesday,Wednesday,16,afternoon,25.183333333333334
1374,5916,Subscriber,Male,43.0,5.34,Wednesday,Wednesday,15,afternoon,22.9
1378,4922,Subscriber,Male,40.0,5.14,Wednesday,Wednesday,15,afternoon,22.966666666666665
1546,2779,Subscriber,Male,60.0,5.15,Wednesday,Wednesday,15,afternoon,25.766666666666666
1589,6100,Customer,Male,49.0,5.06,Wednesday,Wednesday,15,afternoon,26.483333333333334
2240,4765,Subscriber,Male,43.0,9.0,Wednesday,Wednesday,15,afternoon,37.333333333333336
1044,4771,Subscriber,Other,44.0,5.09,Wednesday,Wednesday,14,afternoon,17.4
1539,6152,Subscriber,Male,32.0,5.55,Wednesday,Wednesday,12,afternoon,25.65
2596,6419,Subscriber,Male,36.0,5.77,Wednesday,Wednesday,11,morning,43.266666666666666
1431,5173,Subscriber,Female,40.0,5.28,Wednesday,Wednesday,11,morning,23.85
1227,4397,Customer,Male,36.0,5.38,Wednesday,Wednesday,11,morning,20.45
1129,5038,Subscriber,Male,28.0,5.13,Wednesday,Wednesday,11,morning,18.816666666666666
2415,3381,Subscriber,Male,59.0,5.41,Wednesday,Wednesday,10,morning,40.25
1498,4980,Subscriber,Male,38.0,5.09,Wednesday,Wednesday,9,morning,24.966666666666665
1695,3189,Subscriber,Male,39.0,5.92,Wednesday,Wednesday,9,morning,28.25
1313,4980,Subscriber,Male,50.0,6.17,Wednesday,Wednesday,9,morning,21.883333333333333
1941,5839,Customer,Male,36.0,5.13,Wednesday,Wednesday,9,morning,32.35
1665,6058,Subscriber,Male,50.0,6.71,Wednesday,Wednesday,9,morning,27.75
1527,6223,Subscriber,Male,34.0,5.67,Wednesday,Wednesday,9,morning,25.45
1347,5861,Subscriber,Male,34.0,5.34,Wednesday,Wednesday,9,morning,22.45
1222,5261,Customer,Male,49.0,5.76,Wednesday,Wednesday,9,morning,20.366666666666667
1878,420,Subscriber,Female,28.0,6.28,Wednesday,Wednesday,8,morning,31.3
1232,5781,Subscriber,Female,50.0,5.31,Wednesday,Wednesday,8,morning,20.533333333333335
1826,6534,Subscriber,Male,35.0,6.93,Wednesday,Wednesday,8,morning,30.433333333333334
1126,4633,Subscriber,Male,33.0,6.08,Wednesday,Wednesday,8,morning,18.766666666666666
1592,5167,Subscriber,Male,34.0,6.56,Wednesday,Wednesday,8,morning,26.533333333333335
1301,5533,Subscriber,Male,30.0,5.41,Wednesday,Wednesday,8,morning,21.683333333333334
1473,6327,Subscriber,Female,40.0,5.47,Wednesday,Wednesday,8,morning,24.55
1371,5364,Customer,Male,57.0,5.61,Wednesday,Wednesday,8,morning,22.85
1133,6540,Customer,Male,30.0,5.23,Wednesday,Wednesday,8,morning,18.883333333333333
1383,4426,Subscriber,Male,51.0,5.57,Wednesday,Wednesday,8,morning,23.05
1824,4614,Subscriber,Male,65.0,5.87,Wednesday,Wednesday,8,morning,30.4
1648,197,Subscriber,Male,36.0,8.38,Wednesday,Wednesday,8,morning,27.466666666666665
1152,2779,Subscriber,Male,60.0,5.15,Wednesday,Wednesday,8,morning,19.2
1535,5354,Subscriber,Male,30.0,6.55,Wednesday,Wednesday,7,morning,25.583333333333332
2095,6614,Subscriber,Male,50.0,6.17,Wednesday,Wednesday,7,morning,34.916666666666664
1806,2323,Subscriber,Male,37.0,6.36,Wednesday,Wednesday,7,morning,30.1
1425,5036,Subscriber,Male,51.0,5.91,Wednesday,Wednesday,7,morning,23.75
1015,4409,Subscriber,Male,30.0,5.09,Wednesday,Wednesday,7,morning,16.916666666666668
1482,6337,Customer,Female,27.0,6.22,Wednesday,Wednesday,6,morning,24.7
1777,1365,Subscriber,Male,26.0,6.88,Wednesday,Wednesday,6,morning,29.616666666666667
1767,4391,Subscriber,Male,50.0,7.21,Wednesday,Wednesday,5,morning,29.45
1333,5173,Subscriber,Female,35.0,6.29,Wednesday,Wednesday,5,morning,22.216666666666665
2351,1835,Subscriber,Female,28.0,5.83,Tuesday,Tuesday,20,night,39.18333333333333
1270,5780,Subscriber,Other,42.0,5.37,Tuesday,Tuesday,19,night,21.166666666666668
1106,5138,Subscriber,Male,33.0,6.22,Tuesday,Tuesday,18,night,18.433333333333334
1677,5503,Subscriber,Male,65.0,7.02,Tuesday,Tuesday,18,night,27.95
1924,4574,Subscriber,Male,38.0,5.09,Tuesday,Tuesday,18,night,32.06666666666667
1731,6090,Subscriber,Male,48.0,5.56,Tuesday,Tuesday,17,afternoon,28.85
1846,6399,Subscriber,Male,30.0,6.2,Tuesday,Tuesday,17,afternoon,30.766666666666666
1391,5299,Subscriber,Male,30.0,5.41,Tuesday,Tuesday,17,afternoon,23.183333333333334
1059,5882,Subscriber,Female,42.0,5.14,Tuesday,Tuesday,17,afternoon,17.65
1168,5403,Subscriber,Male,39.0,5.37,Tuesday,Tuesday,17,afternoon,19.466666666666665
1443,3399,Subscriber,Male,33.0,5.33,Tuesday,Tuesday,17,afternoon,24.05
2052,6058,Subscriber,Male,50.0,6.71,Tuesday,Tuesday,17,afternoon,34.2
2252,5188,Subscriber,Male,65.0,7.41,Tuesday,Tuesday,17,afternoon,37.53333333333333
1459,4573,Subscriber,Female,25.0,5.07,Tuesday,Tuesday,17,afternoon,24.316666666666666
1889,5129,Subscriber,Female,52.0,7.06,Tuesday,Tuesday,16,afternoon,31.483333333333334
1626,6572,Subscriber,Male,41.0,5.07,Tuesday,Tuesday,16,afternoon,27.1
2330,5201,Subscriber,Female,27.0,6.69,Tuesday,Tuesday,16,afternoon,38.833333333333336
1877,384,Subscriber,Male,33.0,5.33,Tuesday,Tuesday,15,afternoon,31.283333333333335
2229,2080,Subscriber,Male,33.0,15.66,Tuesday,Tuesday,15,afternoon,37.15
1361,5533,Subscriber,Male,35.0,5.59,Tuesday,Tuesday,14,afternoon,22.683333333333334
1190,5166,Subscriber,Male,34.0,5.48,Tuesday,Tuesday,14,afternoon,19.833333333333332
1251,4598,Customer,Male,29.0,6.78,Tuesday,Tuesday,13,afternoon,20.85
1093,6026,Subscriber,Female,50.0,5.31,Tuesday,Tuesday,12,afternoon,18.216666666666665
1578,5965,Subscriber,Male,30.0,5.87,Tuesday,Tuesday,12,afternoon,26.3
2724,5201,Subscriber,Female,27.0,8.61,Tuesday,Tuesday,12,afternoon,45.4
1613,5277,Subscriber,Male,29.0,6.48,Tuesday,Tuesday,10,morning,26.883333333333333
1332,5476,Subscriber,Male,54.0,5.31,Tuesday,Tuesday,9,morning,22.2
1620,6215,Subscriber,Male,41.0,5.2,Tuesday,Tuesday,9,morning,27.0
1374,5726,Subscriber,Male,39.0,5.96,Tuesday,Tuesday,9,morning,22.9
1234,6636,Subscriber,Male,25.0,5.23,Tuesday,Tuesday,9,morning,20.566666666666666
1608,5175,Subscriber,Female,36.0,6.43,Tuesday,Tuesday,9,morning,26.8
1095,6148,Subscriber,Male,33.0,6.08,Tuesday,Tuesday,9,morning,18.25
1968,6056,Subscriber,Female,36.0,6.56,Tuesday,Tuesday,8,morning,32.8
1953,4640,Subscriber,Male,34.0,6.56,Tuesday,Tuesday,8,morning,32.55
1510,4427,Subscriber,Male,42.0,6.0,Tuesday,Tuesday,8,morning,25.166666666666668
1508,6193,Subscriber,Male,35.0,6.01,Tuesday,Tuesday,8,morning,25.133333333333333
1126,6434,Subscriber,Male,32.0,5.08,Tuesday,Tuesday,8,morning,18.766666666666666
1274,6327,Subscriber,Male,30.0,5.65,Tuesday,Tuesday,8,morning,21.233333333333334
1141,5855,Customer,Male,30.0,5.1,Tuesday,Tuesday,8,morning,19.016666666666666
1728,4738,Subscriber,Male,38.0,5.91,Tuesday,Tuesday,8,morning,28.8
2026,3250,Subscriber,Male,36.0,8.38,Tuesday,Tuesday,7,morning,33.766666666666666
1128,6120,Customer,Male,30.0,5.23,Tuesday,Tuesday,8,morning,18.8
1793,6058,Subscriber,Male,50.0,6.71,Tuesday,Tuesday,7,morning,29.883333333333333
1528,4531,Subscriber,Male,65.0,6.57,Tuesday,Tuesday,7,morning,25.466666666666665
1005,5403,Subscriber,Female,34.0,5.26,Tuesday,Tuesday,7,morning,16.75
1212,5323,Subscriber,Male,51.0,5.66,Tuesday,Tuesday,7,morning,20.2
1236,5866,Subscriber,Male,30.0,5.07,Tuesday,Tuesday,7,morning,20.6
1530,4980,Subscriber,Male,32.0,6.48,Tuesday,Tuesday,6,morning,25.5
1216,2392,Subscriber,Male,51.0,5.55,Tuesday,Tuesday,5,morning,20.266666666666666
2226,5515,Subscriber,Female,38.0,5.47,Tuesday,Tuesday,1,morning,37.1
1787,5108,Subscriber,Male,42.0,5.27,Tuesday,Tuesday,1,morning,29.783333333333335
1453,5111,Subscriber,Male,39.0,7.51,Tuesday,Tuesday,0,morning,24.216666666666665
2015,5235,Subscriber,Male,50.0,6.17,Monday,Tuesday,23,night,33.583333333333336
1750,5515,Subscriber,Female,38.0,5.47,Monday,Monday,22,night,29.166666666666668
1750,4966,Subscriber,Male,42.0,5.47,Monday,Monday,22,night,29.166666666666668
1087,5823,Subscriber,Male,54.0,5.31,Monday,Monday,22,night,18.116666666666667
1179,6027,Customer,Male,36.0,5.42,Monday,Monday,20,night,19.65
1924,5775,Subscriber,Male,47.0,5.27,Monday,Monday,20,night,32.06666666666667
1513,227,Subscriber,Female,28.0,5.91,Monday,Monday,20,night,25.216666666666665
1605,5825,Subscriber,Male,35.0,5.59,Monday,Monday,18,night,26.75
1390,6089,Subscriber,Male,36.0,6.21,Monday,Monday,18,night,23.166666666666668
1652,4605,Subscriber,Male,34.0,6.32,Monday,Monday,17,afternoon,27.533333333333335
2188,3250,Subscriber,Male,36.0,8.38,Monday,Monday,17,afternoon,36.46666666666667
1305,6117,Subscriber,Male,51.0,5.15,Monday,Monday,17,afternoon,21.75
1420,6168,Subscriber,Male,30.0,5.41,Monday,Monday,17,afternoon,23.666666666666668
2004,6058,Subscriber,Male,50.0,6.71,Monday,Monday,17,afternoon,33.4
1380,6456,Subscriber,Male,30.0,5.07,Monday,Monday,17,afternoon,23.0
2035,197,Subscriber,Female,36.0,6.21,Monday,Monday,17,afternoon,33.916666666666664
1464,6193,Subscriber,Male,29.0,6.32,Monday,Monday,16,afternoon,24.4
1723,5496,Subscriber,Male,33.0,5.09,Monday,Monday,16,afternoon,28.716666666666665
1432,5155,Subscriber,Female,52.0,6.9,Monday,Monday,16,afternoon,23.866666666666667
2110,3183,Subscriber,Male,26.0,6.88,Monday,Monday,16,afternoon,35.166666666666664
1345,5613,Subscriber,Male,37.0,5.22,Monday,Monday,12,afternoon,22.416666666666668
992,6398,Subscriber,Male,29.0,5.19,Monday,Monday,11,morning,16.533333333333335
1782,5789,Subscriber,Male,42.0,5.29,Monday,Monday,11,morning,29.7
1860,4789,Subscriber,Male,35.0,6.85,Monday,Monday,9,morning,31.0
1328,5642,Subscriber,Male,65.0,6.57,Monday,Monday,9,morning,22.133333333333333
1179,4318,Subscriber,Male,54.0,5.31,Monday,Monday,9,morning,19.65
2150,1110,Subscriber,Female,36.0,6.43,Monday,Monday,9,morning,35.833333333333336
1624,4870,Subscriber,Male,34.0,5.67,Monday,Monday,9,morning,27.066666666666666
1543,6249,Subscriber,Female,40.0,5.25,Monday,Monday,9,morning,25.716666666666665
1942,6425,Subscriber,Male,50.0,6.41,Monday,Monday,8,morning,32.36666666666667
1637,3356,Subscriber,Male,42.0,6.0,Monday,Monday,8,morning,27.283333333333335
1761,5027,Subscriber,Male,29.0,5.08,Monday,Monday,8,morning,29.35
1367,6281,Subscriber,Male,34.0,5.34,Monday,Monday,8,morning,22.783333333333335
1938,6466,Subscriber,Male,34.0,8.22,Monday,Monday,8,morning,32.3
1218,6194,Subscriber,Male,33.0,6.08,Monday,Monday,8,morning,20.3
1331,4655,Subscriber,Male,26.0,5.08,Monday,Monday,8,morning,22.183333333333334
1860,5050,Subscriber,Male,35.0,6.55,Monday,Monday,8,morning,31.0
1382,4832,Subscriber,Male,30.0,5.41,Monday,Monday,8,morning,23.033333333333335
1707,3250,Subscriber,Male,36.0,8.38,Monday,Monday,8,morning,28.45
1530,5788,Subscriber,Male,34.0,6.56,Monday,Monday,8,morning,25.5
1034,6258,Customer,Male,30.0,5.37,Monday,Monday,8,morning,17.233333333333334
1080,6415,Customer,Other,40.0,5.06,Monday,Monday,8,morning,18.0
1859,6406,Subscriber,Other,29.0,6.58,Monday,Monday,8,morning,30.983333333333334
2354,3548,Subscriber,Female,39.0,7.23,Monday,Monday,7,morning,39.233333333333334
1410,5220,Subscriber,Male,51.0,5.57,Monday,Monday,8,morning,23.5
2145,1512,Subscriber,Male,26.0,6.88,Monday,Monday,7,morning,35.75
1258,4957,Subscriber,Male,51.0,5.4,Monday,Monday,7,morning,20.966666666666665
1277,4801,Subscriber,Male,30.0,5.09,Monday,Monday,7,morning,21.283333333333335
1226,1569,Subscriber,Male,27.0,5.93,Monday,Monday,6,morning,20.433333333333334
995,4917,Subscriber,Male,51.0,5.55,Monday,Monday,6,morning,16.583333333333332
1980,2833,Subscriber,Female,28.0,6.29,Monday,Monday,5,morning,33.0
934,6407,Subscriber,Male,31.0,5.29,Monday,Monday,5,morning,15.566666666666666
1414,6306,Subscriber,Female,35.0,6.29,Monday,Monday,5,morning,23.566666666666666
1186,4608,Subscriber,Male,49.0,5.21,Monday,Monday,5,morning,19.766666666666666
2207,6120,Customer,Female,29.0,5.51,Sunday,Sunday,20,night,36.78333333333333
936,6261,Subscriber,Male,33.0,5.27,Sunday,Sunday,20,night,15.6
1380,4941,Subscriber,Male,31.0,5.27,Sunday,Sunday,19,night,23.0
1273,5090,Subscriber,Other,29.0,5.31,Sunday,Sunday,18,night,21.216666666666665
2276,3595,Customer,Female,27.0,5.32,Sunday,Sunday,17,afternoon,37.93333333333333
1042,6223,Subscriber,Male,26.0,5.41,Sunday,Sunday,18,night,17.366666666666667
1406,6384,Subscriber,Male,33.0,5.24,Sunday,Sunday,18,night,23.433333333333334
1346,6521,Customer,Male,48.0,6.61,Sunday,Sunday,18,night,22.433333333333334
1313,4624,Subscriber,Male,24.0,5.12,Sunday,Sunday,17,afternoon,21.883333333333333
2042,5937,Subscriber,Female,57.0,5.6,Sunday,Sunday,17,afternoon,34.03333333333333
2011,4778,Subscriber,Female,51.0,5.6,Sunday,Sunday,17,afternoon,33.516666666666666
1484,5145,Subscriber,Male,33.0,6.11,Sunday,Sunday,17,afternoon,24.733333333333334
1327,6034,Subscriber,Male,29.0,5.21,Sunday,Sunday,17,afternoon,22.116666666666667
